1    , 1   , 34  , Systems of Linear Equations
1-1  , 1   , 9   , Solutions and Elementary Operations
1-2  , 9   , 20  , Gaussian Elimination
1-3  , 20  , 27  , Homogeneous Equations
1-4  , 27  , 29  , An Application to Network Flow
1-5  , 29  , 32  , An Application to Electrical Network
1-6  , 32  , 33  , An Application to Chemical Reactions
1-S  , 33  , 34  , Supplementary Exercises for Chapter 1
2    , 35  , 144 , Matrix Algebra 
2-1  , 35  , 47  , Matrix Addition and Scalar Multiplication and Transportation
2-2  , 47  , 64  , Matrix-Vector Multiplication
2-3  , 64  , 80  , Matrix Multiplication
2-4  , 80  , 95  , Matrix Inverses
2-5  , 95  , 104 , Elementary Matrices
2-6  , 104 , 118 , Linear Transformations
2-7  , 118 , 128 , LU-Factorization
2-8  , 128 , 134 , An Application to Input-Output Economic Model
2-9  , 134 , 143 , An application to Markov Chains
2-S  , 143 , 144 , Supplementary Exercises for Chapter 2
3    , 145 , 208 , Determinants and Diagonalization 
3-1  , 145 , 158 , The Cofactor Expansion
3-2  , 158 , 171 , Determinants and Matrix Inverses
3-3  , 171 , 192 , Diagonalization and Eigenvalues
3-4  , 192 , 198 , An Application to Linear Recurrences
3-5  , 198 , 204 , An Application to Systems of Differential Equations
3-6  , 204 , 208 , Proof of the Cofactor Expansion Theorem
3-S  , 208 , 208 , Supplementary Exercises for Chapter 3
4    , 209 , 262 , Vector Geometry 
4-1  , 209 , 226 , Vectors and Lines
4-2  , 226 , 244 , Projections and Planes
4-3  , 244 , 250 , More on the Cross Product
4-4  , 250 , 258 , Linear Operators on R3
4-5  , 258 , 261 , An Application to Computer Graphics
4-S  , 261 , 262 , Supplementary Exercises for Chapter 4
5    , 263 , 328 , Vector Space Rn 
5-1  , 263 , 271 , Subspaces and Spanning
5-2  , 271 , 282 , Independent and Dimension
5-3  , 282 , 290 , Orthogonality
5-4  , 290 , 298 , Rank of a Matrix
5-5  , 298 , 310 , Similarity and Diagonalization
5-6  , 310 , 322 , Best Approximation and Least Squares
5-7  , 322 , 327 , An Application to Correlation and Variance
5-S  , 327 , 328 , Supplementary Exercises for Chapter 5
6    , 329 , 374 , Vector Spaces 
6-1  , 329 , 338 , Examples and Basic Properties
6-2  , 338 , 345 , Subspaces and Spanning Sets
6-3  , 345 , 354 , Linear Independence and Dimensions
6-4  , 354 , 363 , Finite Dimensional Spaces
6-5  , 363 , 368 , An Application to Polynomials
6-6  , 368 , 373 , An Application to Differential Equations
6-S  , 373 , 374 , Supplementary Exercises for Chapter 6
7    , 375 , 414 , Linear Transformations
7-1  , 375 , 382 , Examples and Elementary Properties
7-2  , 382 , 392 , Kernel and Image of a Linear Transformation
7-3  , 392 , 402 , Isomorphisms and Composition
7-4  , 402 , 405 , A Theorem about Differential Equations
7-5  , 405 , 414 , More on Linear Recurrences
8    , 415 , 502 , Orthogonality 
8-1  , 415 , 424 , Orthogonal Complements and Projections
8-2  , 424 , 433 , Orthogonal Diagonalization
8-3  , 433 , 437 , Positive Definite Matrices
8-4  , 437 , 441 , QR-Factorization
8-5  , 441 , 445 , Computing Eigenvalues
8-6  , 445 , 461 , The Singular Value Decomposition
8-7  , 461 , 472 , Complex Matrices
8-8  , 472 , 487 , An Application to Linear Codes over Finite Fields
8-9  , 487 , 497 , An Application to Quadratic Forms
8-10 , 497 , 500 , An Application to Constrained Optimization
8-11 , 500 , 502 , An Application to Statistical Principal Component Analysis
